lat_grid,lon_grid,aircraft_count
40,-74,2184
51,0,1924
40,-73,1656
40,-75,1524
38,-77,1488
33,-84,1431
39,-76,1408
39,-75,1385
41,-87,1385
33,-117,1344
41,-88,1344
32,-96,1319
33,-118,1288
26,-80,1280
34,-118,1276
39,-77,1275
32,-97,1266
28,-81,1250
39,-104,1250
22,113,1220
36,-86,1128
35,-80,1125
42,-71,1125
33,-111,1105
41,-73,1089
48,2,1055
42,-88,1052
34,-117,1044
42,-87,1017
42,-83,1012
29,-81,1008
33,-96,1007
28,-82,1000
27,-80,989
41,-72,984
33,-97,978
37,-121,975
49,2,959
30,-81,950
40,-76,949
37,-122,944
25,-80,934
38,-78,929
39,-84,925
28,-80,924
38,-76,919
35,-81,916
50,8,915
39,-74,912
33,-112,904
39,-86,899
30,-95,897
38,-85,891
49,9,885
29,-95,882
41,-81,879
52,0,876
30,-97,864
27,-82,861
40,-80,855
38,-90,847
41,-71,845
41,-74,833
43,-79,802
50,0,798
38,-75,796
47,-122,795
34,-84,791
37,-78,791
38,-121,791
48,11,787
37,-77,785
39,-85,779
40,-83,761
42,-70,753
47,8,752
41,-82,750
35,-84,748
49,10,743
34,-119,741
50,7,739
40,-82,737
25,55,734
32,-80,734
49,8,734
42,-85,730
37,-79,729
38,-84,728
29,-82,723
40,-104,723
42,-73,723
34,-80,722
36,-79,721
39,116,721
39,-105,720
34,-82,719
40,-72,719
42,-84,719
50,5,716
33,-116,713
35,-83,709
36,-76,707
40,-79,707
41,-86,706
31,-81,704
45,0,703
39,-78,701
37,-85,697
40,-81,696
34,-83,694
50,4,690
52,-1,688
40,-3,679
46,6,679
38,115,672
48,12,670
40,-77,666
34,-116,664
33,-83,662
41,-89,662
50,9,660
22,114,659
35,-115,659
41,-83,659
41,28,659
51,1,658
34,-85,654
52,4,653
49,11,652
35,-82,651
47,16,651
36,-114,650
35,-89,649
53,-2,646
35,-119,645
44,-93,642
41,2,640
29,-83,638
42,-86,638
48,13,638
35,-78,636
35,-90,635
48,3,633
32,-81,632
51,4,631
37,-76,629
40,-84,629
47,7,629
51,-1,629
40,-111,625
46,0,625
36,-87,624
35,-86,622
39,-87,620
49,3,620
50,6,620
48,9,619
37,-84,616
36,-80,614
38,-80,613
42,-78,613
47,0,612
33,-86,611
30,-96,608
36,-81,608
51,6,608
51,7,608
37,-80,606
39,-82,606
40,29,606
42,-72,606
38,-104,604
38,-86,604
33,-80,597
41,-80,597
23,113,596
47,17,596
41,-75,595
40,-85,594
40,-78,594
41,-84,593
39,-94,591
34,-86,590
45,9,589
34,-81,588
42,-77,587
41,-70,586
31,-82,584
38,-81,583
50,3,582
30,-82,581
30,-98,579
48,1,578
40,-87,577
37,126,576
42,-79,576
35,-85,573
36,-115,573
32,-117,572
40,-105,569
38,-79,568
43,-88,568
47,11,566
53,-1,566
44,0,564
39,-89,562
30,-94,561
33,-81,561
41,-77,560
42,-82,560
47,13,560
39,-83,558
46,20,558
51,3,558
33,-95,555
39,-103,555
51,2,555
36,-94,554
38,-120,554
41,-85,554
37,-120,553
36,-78,551
47,12,551
38,-82,550
41,-79,550
29,-98,549
38,116,548
42,-89,548
34,-112,547
41,-76,547
42,-76,545
48,15,545
47,18,544
39,-79,543
40,116,542
35,-91,538
36,-85,537
45,22,537
32,-116,536
35,-79,536
34,-92,534
34,-91,534
45,-122,531
43,7,528
48,16,528
38,-91,524
32,-111,522
39,-80,520
45,-73,519
40,-86,518
35,-114,517
43,0,517
36,-95,516
41,1,515
33,-85,514
37,-88,514
38,-94,513
-23,-46,510
35,-97,510
36,-84,510
39,-81,510
40,-88,510
49,7,510
45,8,509
45,11,509
47,10,509
48,14,509
26,-81,507
32,-83,504
38,-103,503
44,25,503
35,-120,502
42,-74,501
34,-90,499
35,-77,499
13,100,498
40,28,498
48,8,498
39,-90,497
46,14,497
34,-89,496
44,8,496
33,-79,495
43,-70,495
25,54,493
36,-93,493
37,-119,493
36,-82,492
36,-121,491
35,139,489
45,12,488
42,-81,487
44,20,487
48,10,487
32,-95,486
41,29,486
46,11,485
40,-103,484
38,-122,483
37,-93,482
46,19,482
47,9,482
32,-93,481
34,-111,481
49,6,480
52,5,479
35,-106,478
43,-80,478
45,23,478
30,-83,477
31,-97,477
36,30,477
37,-75,476
43,6,476
36,-96,475
36,-88,474
47,15,474
46,18,473
50,1,473
47,19,472
48,0,469
41,-90,468
44,26,468
43,21,466
36,-77,465
37,-86,465
37,-83,465
29,48,464
39,-88,464
42,-90,464
45,15,463
33,-98,462
42,-75,462
40,-89,461
49,12,461
43,-89,460
38,114,459
25,53,458
37,-87,458
38,-87,458
45,16,458
51,8,458
35,140,457
38,-106,455
37,23,451
34,135,448
39,2,448
45,5,448
38,-89,447
27,-81,446
38,-102,446
39,-95,445
41,12,445
40,-112,444
26,-79,443
43,5,442
46,21,440
34,-87,439
38,-83,439
41,-78,439
43,1,439
34,-88,437
49,14,437
25,121,436
37,-89,436
41,-91,436
47,6,435
31,-94,432
31,-93,432
50,14,432
31,-92,431
34,-79,431
36,-89,429
33,-82,428
38,-95,428
39,0,428
40,24,427
49,1,427
50,11,426
45,6,425
36,-83,424
43,22,424
38,-97,423
35,-88,422
35,-87,422
37,-82,422
34,-115,421
41,-95,421
45,19,421
44,17,420
44,-92,419
27,50,418
31,-96,418
41,3,418
33,-115,417
47,14,416
30,-84,415
33,-87,415
37,-81,415
46,15,415
42,23,414
50,10,414
53,0,414
40,23,413
43,27,412
51,5,412
28,49,410
30,-90,409
43,-78,409
34,-78,408
42,4,408
45,10,408
35,-113,407
42,-80,406
31,-106,405
37,30,405
32,-84,404
34,134,404
39,-106,404
44,9,403
38,-101,402
45,24,402
21,114,401
38,-119,400
41,-112,399
46,5,399
32,-86,398
36,-97,398
61,-150,398
33,-113,397
36,-113,397
37,115,397
45,-93,397
46,13,397
41,-93,396
44,16,396
38,-93,395
25,-79,393
32,-82,393
35,-94,393
38,-105,393
44,1,393
45,4,393
51,9,392
29,-80,391
49,13,391
32,-110,390
35,-96,390
44,14,390
30,-86,389
31,-83,388
38,-107,388
39,-73,388
43,-87,388
33,-94,387
35,-107,387
39,3,386
28,-83,385
39,-102,385
44,24,385
36,-119,384
38,-98,384
38,-96,384
40,-102,384
44,11,384
30,-87,383
36,115,383
50,-1,383
32,-92,382
42,0,382
39,115,381
61,-149,381
39,-91,380
43,-116,380
44,21,379
34,-93,378
36,-90,378
48,4,378
38,-99,376
38,113,376
39,-93,376
37,-97,375
38,-92,374
28,77,373
32,-85,373
35,-102,373
37,-92,373
39,-96,373
51,-2,372
41,0,371
30,47,370
32,-94,370
46,17,370
43,19,369
42,-2,368
43,-85,368
46,1,368
43,23,367
19,-99,366
31,-84,366
34,-114,366
43,26,366
46,8,366
52,6,366
35,-109,365
24,56,364
34,136,364
35,-101,364
45,13,363
34,139,362
41,-92,362
42,28,362
46,16,362
35,-108,361
36,-120,361
38,-108,359
44,10,359
40,-101,358
41,-96,358
29,-96,357
39,-120,357
24,120,356
36,-112,355
38,-118,355
42,-91,355
43,-73,355
1,103,354
34,-110,353
40,-2,353
50,2,353
35,-112,352
35,-95,352
24,54,351
42,-92,351
46,10,350
34,-99,349
39,25,348
49,15,348
37,-98,347
37,-90,347
42,27,347
47,-121,347
2,101,346
49,-1,346
52,3,346
29,-94,345
37,-100,345
47,2,345
35,-93,344
47,1,344
51,10,344
30,-91,342
33,-92,342
1,104,341
32,-108,341
33,-93,341
34,-100,341
41,23,341
49,-123,341
31,-105,340
37,-91,340
49,5,340
-23,-47,339
-22,-46,339
49,0,339
31,-86,338
44,6,338
40,-90,337
45,17,337
36,-103,336
37,-109,336
39,-4,335
43,-76,335
44,-121,335
46,-122,335
33,-99,334
39,-92,334
40,-106,334
42,22,334
48,6,334
33,-114,333
42,26,333
47,-117,332
32,-98,331
38,30,331
39,-97,331
42,29,331
43,18,331
45,-74,331
46,22,330
51,11,330
4,-74,329
27,49,329
35,-92,329
42,25,329
44,23,329
47,4,329
36,-92,328
38,-88,328
38,-9,328
40,-92,328
42,5,328
38,-100,327
43,28,327
28,76,326
41,-94,326
41,22,326
40,-100,325
40,-97,325
43,-71,325
32,-107,324
34,-96,324
36,-91,324
36,-4,324
40,-98,324
43,25,324
44,18,324
52,-2,323
14,100,322
30,-89,322
37,-99,322
43,-91,322
31,-85,321
34,-77,321
48,17,321
52,1,321
37,-102,320
46,4,320
52,13,320
32,-109,319
40,0,319
51,12,319
34,-113,318
34,-97,318
44,-69,318
36,-102,317
37,-94,317
19,-98,316
37,-96,316
40,-99,316
34,-95,315
37,-95,315
41,27,315
44,15,315
55,-3,315
33,-88,314
37,-103,314
37,24,314
44,-88,314
48,21,314
24,55,313
31,-80,313
37,-111,313
41,-111,313
39,-101,312
29,-90,311
37,-108,311
38,23,311
44,-94,311
53,-6,311
37,-110,310
39,24,310
31,46,309
35,-104,309
39,-8,309
40,-4,309
42,12,309
50,12,309
38,26,308
40,-91,308
45,20,308
-22,-47,307
34,-106,307
41,26,307
46,12,307
32,-88,306
40,-96,306
37,-101,305
43,-81,305
43,24,305
45,7,304
53,-3,304
30,-99,303
33,-90,303
33,130,303
35,-110,303
39,-121,303
45,14,303
44,7,302
46,7,302
37,-105,301
39,-112,301
35,-105,300
48,5,300
55,12,300
30,-93,299
31,-91,299
35,-98,299
37,-106,299
41,4,299
31,-104,298
35,-100,298
35,-99,298
44,13,298
45,1,298
48,-122,297
43,-90,296
43,-84,296
31,-103,295
40,9,294
-37,144,293
37,29,293
39,-100,293
40,30,293
-27,153,292
29,-97,292
31,-87,292
25,122,291
27,-97,291
2,102,290
21,115,290
26,-82,290
33,-91,290
34,-101,290
43,-77,290
45,21,290
36,126,289
32,-99,287
35,-118,287
37,-104,287
39,-111,287
43,-1,287
49,4,287
35,-103,286
40,27,286
42,-93,286
43,-92,286
47,-1,286
32,-89,285
44,19,285
39,20,284
39,30,284
43,11,284
27,-79,283
37,-107,283
41,21,283
49,16,283
51,-3,283
39,-119,282
32,-102,281
43,-93,281
43,17,281
47,22,281
48,-123,281
40,4,280
3,101,279
38,22,279
43,4,279
47,3,279
19,72,278
22,88,278
34,-107,278
30,31,277
39,-98,277
42,-94,277
44,2,277
25,-81,276
32,-101,276
35,-111,276
35,126,276
36,114,276
38,-113,276
31,-100,275
44,-91,275
44,-89,275
46,9,275
36,27,274
39,-7,274
41,19,274
52,2,274
23,119,273
36,-104,273
40,1,273
41,11,273
43,-72,273
37,-113,272
40,-93,272
32,-90,271
42,10,271
48,18,270
14,120,269
24,57,269
31,-102,269
45,-75,269
45,25,269
52,9,269
54,-2,269
-33,151,268
42,20,268
43,-86,268
45,-72,268
32,-87,267
40,20,267
43,-83,267
44,-122,267
49,-2,267
30,-85,266
35,138,266
36,-106,266
42,-1,266
19,73,265
25,56,265
32,-100,265
38,-109,265
41,-3,265
43,-75,265
13,77,264
36,-116,264
36,-101,264
43,-82,264
53,-5,264
22,108,263
34,-94,263
34,138,263
34,137,262
42,30,262
46,-1,262
29,32,261
34,-108,261
36,-98,260
44,-77,260
44,-78,259
45,-121,259
34,133,258
38,28,258
40,-94,258
31,-95,257
36,-105,257
38,27,257
39,-99,257
36,-99,256
42,-3,256
40,-122,255
40,8,255
43,9,255
44,-85,255
44,4,255
31,-90,253
32,-115,253
36,26,253
39,-107,253
43,15,253
52,7,253
33,-89,252
34,-105,252
41,-8,252
42,1,252
44,5,252
31,-101,250
37,-118,250
40,-95,250
43,8,250
43,10,250
25,-100,249
43,20,249
49,-122,249
36,-111,248
44,-90,248
36,-100,247
38,-74,247
39,-122,247
40,19,247
41,-100,247
37,25,246
41,-2,246
36,-107,245
40,22,245
41,41,245
45,18,245
50,19,245
38,25,244
39,-3,244
36,28,243
42,11,243
49,17,243
18,-66,242
30,-100,241
36,-108,241
40,31,241
47,-116,241
50,13,241
51,-113,241
51,13,241
27,-84,240
33,133,240
38,-8,240
38,24,240
39,-108,240
40,-107,240
43,12,240
44,12,240
14,121,239
34,-109,239
36,24,239
37,-3,239
39,27,239
41,44,239
21,109,238
37,27,238
36,25,237
38,0,237
43,-96,237
46,-96,237
47,5,237
-22,-43,236
41,13,236
23,57,235
37,-117,235
39,-110,235
40,5,235
41,-101,235
41,-97,235
37,-112,234
38,-110,234
42,-97,233
45,3,233
32,-91,232
33,135,232
37,127,232
45,-92,232
52,8,232
41,-5,231
46,23,231
29,31,230
34,-104,230
40,-7,230
41,-99,230
41,24,229
52,10,229
35,-76,228
44,-79,228
55,-4,228
30,-88,227
41,-103,227
23,56,226
39,19,226
35,30,225
43,-121,225
44,-76,225
34,-98,224
41,-102,224
44,-80,224
33,-77,223
39,-109,223
43,-115,223
44,-75,223
47,-120,223
31,-98,222
38,21,222
39,1,222
40,3,222
41,-98,222
53,10,222
21,-157,221
31,-89,221
31,-78,221
42,21,221
54,-1,221
40,115,220
47,20,220
23,114,219
25,-78,219
34,-120,219
35,137,219
39,21,219
45,-118,219
47,-118,219
22,87,217
41,20,217
42,-96,217
34,-102,216
38,-114,216
41,40,216
43,16,216
33,-101,215
34,30,215
33,131,214
38,1,214
40,13,214
42,-6,214
37,28,213
40,32,213
3,104,212
33,132,212
40,-8,212
42,24,212
45,-3,212
0,104,211
38,-115,211
27,76,210
33,134,210
44,-3,210
23,55,209
27,-83,209
30,-92,209
37,26,209
40,37,209
41,-105,209
46,-2,209
13,101,208
18,73,208
35,-116,208
42,13,208
45,-68,208
-37,145,207
22,107,207
34,-103,207
41,-106,207
42,-112,207
46,-71,207
48,7,207
40,-110,206
41,-4,206
45,-94,206
48,-1,206
-34,150,205
37,-4,205
40,7,205
41,-7,205
41,14,205
42,8,205
44,-87,205
45,-108,205
49,20,205
50,-3,205
53,9,205
33,-100,204
38,-111,204
40,2,204
41,42,204
43,-74,204
36,-109,203
44,-96,203
44,-95,203
46,24,203
-22,-45,202
42,14,202
50,15,202
-33,150,201
36,-110,201
40,25,201
21,105,200
42,-95,200
42,-8,200
44,22,200
47,-119,200
-31,116,199
40,14,199
26,127,198
41,-1,198
21,-86,197
27,-78,197
43,-69,197
45,-71,197
-34,-58,196
31,-88,196
42,-99,196
42,-98,196
49,-97,196
24,-79,195
31,-99,195
38,-4,195
41,10,195
47,-2,195
14,-90,194
21,120,194
32,132,194
39,29,194
40,21,194
46,-68,194
37,-5,193
40,-6,193
47,-3,193
14,77,192
39,23,192
41,-104,192
43,14,192
44,-73,192
36,140,191
41,-120,191
43,-122,191
41,-69,190
45,-76,190
39,4,189
44,-86,189
45,-69,189
3,103,188
14,101,188
48,-3,188
47,-115,187
53,-4,187
33,-110,186
34,132,186
40,6,186
43,-97,186
52,11,186
28,48,185
33,136,185
38,-3,185
41,9,185
42,2,185
44,3,185
-27,152,184
22,115,184
38,-112,184
40,18,184
41,39,184
50,20,184
28,-78,183
35,136,183
38,-7,183
38,29,183
40,11,183
52,20,183
53,7,183
-24,-47,182
5,-74,182
22,86,182
24,121,182
35,133,182
40,-120,182
28,-98,181
32,-78,181
33,137,181
37,125,181
39,22,181
40,-71,181
43,13,181
45,-2,181
46,-121,181
46,-120,181
60,11,181
34,140,180
42,-111,180
44,-84,180
44,-74,180
47,21,180
32,34,179
37,112,179
41,-6,179
43,2,179
49,18,179
52,-6,179
54,9,179
26,50,178
40,12,178
20,-98,177
21,-87,177
37,113,177
60,-151,177
32,-112,176
37,-8,176
41,30,176
49,21,176
40,36,175
41,-121,175
44,-123,175
18,72,174
28,-79,174
32,-106,174
5,-73,173
28,-97,173
46,-4,173
52,12,173
-5,107,172
22,85,172
29,-91,172
48,-2,172
49,-3,172
21,-158,171
26,52,171
28,-87,171
39,114,171
53,8,171
54,-3,171
55,11,171
27,-85,170
32,-79,170
35,31,170
38,20,170
42,-106,170
51,14,170
33,129,169
37,22,169
43,-6,169
43,-4,169
44,-116,169
46,-119,169
23,120,168
41,15,168
48,-89,168
54,-5,168
21,112,167
26,-97,167
27,-99,167
29,-93,167
36,-5,167
51,-114,167
27,77,166
28,-96,166
42,15,166
42,19,166
44,-97,166
50,17,166
2,104,165
22,112,165
26,75,165
39,117,165
50,18,165
-34,151,164
34,32,164
44,27,164
47,-113,164
49,19,164
53,-113,164
29,-89,163
30,-80,163
41,116,163
42,-113,163
47,23,163
53,6,163
55,37,163
-32,115,162
35,135,162
37,-7,162
43,-94,162
52,-3,162
22,121,161
32,-114,161
38,-5,161
30,-101,160
34,33,160
42,-107,160
44,-5,160
51,16,160
2,103,159
38,-116,159
38,-1,159
41,-107,159
42,-102,159
44,-98,159
45,-70,159
45,2,159
55,13,159
44,-99,158
44,-1,158
45,-97,158
47,-97,158
25,-99,157
40,-1,157
40,15,157
41,-122,157
47,-114,157
17,73,156
25,52,156
39,-6,156
40,10,156
42,-122,156
42,-4,156
27,79,155
52,-5,155
13,121,154
22,120,154
24,53,154
26,49,154
31,31,154
32,-103,154
35,-6,154
40,17,154
42,-69,154
22,91,153
24,-81,153
27,47,153
40,26,153
43,-7,153
44,-117,153
45,-95,153
46,-97,153
46,-72,153
46,2,153
53,3,153
59,18,153
-28,153,152
33,30,152
35,29,152
41,38,152
45,-119,152
49,-120,152
53,1,152
3,100,151
22,84,151
37,116,151
45,-96,151
49,-121,151
28,-88,150
42,3,150
45,-91,150
51,20,150
59,17,150
39,26,149
40,114,149
48,19,149
-34,138,148
-28,152,148
39,-1,148
51,19,148
52,16,148
14,102,147
21,113,147
32,33,147
37,-10,147
46,-103,147
52,17,147
40,-121,146
42,-100,146
42,-68,146
44,-120,146
44,-63,146
45,-82,146
46,-66,146
45,-123,145
46,-3,145
15,120,144
22,89,144
32,-77,144
35,-5,144
41,17,144
35,131,143
37,140,143
42,-121,143
44,-72,143
49,-124,143
19,69,142
33,-102,142
39,-9,142
40,-119,142
42,-114,142
43,-106,142
43,-102,142
46,-98,142
49,-119,142
-21,-47,141
-15,-47,141
29,34,141
32,-113,141
33,138,141
35,132,141
43,-3,141
44,-81,141
46,-118,141
35,134,140
41,8,140
42,-67,140
43,-65,140
45,-120,140
46,-117,140
19,109,139
20,106,139
27,48,139
29,-92,139
43,-120,139
51,-4,139
53,2,139
-37,174,138
33,31,138
37,31,138
40,16,138
42,-7,138
44,-70,138
51,17,138
-32,116,137
12,100,137
21,106,137
27,-98,137
36,31,137
46,-67,137
26,55,136
39,14,136
43,-103,136
45,-117,136
45,-89,136
46,-123,136
55,-2,136
23,121,135
43,-95,135
45,-90,135
45,-4,135
-34,149,134
22,90,134
41,5,134
41,16,134
42,-101,134
46,-116,134
51,15,134
52,14,134
54,10,134
13,78,133
18,-98,133
23,118,133
26,76,133
27,128,133
46,-95,133
49,-96,133
32,133,132
42,-5,132
44,-59,132
45,-98,132
-31,115,131
37,14,131
39,15,131
44,-115,131
44,-68,131
-26,152,130
18,71,130
26,48,130
44,-100,130
44,-4,130
45,-58,130
49,-65,130
54,11,130
20,-87,129
34,-7,129
40,-5,129
46,-83,129
-20,-47,128
16,73,128
18,69,128
24,-78,128
34,31,128
45,-116,128
22,92,127
34,-6,127
35,28,127
43,-101,127
47,-96,127
50,-113,127
-21,-46,126
-6,113,126
3,102,126
22,106,126
36,139,126
42,-103,126
42,141,126
45,-5,126
46,3,126
47,-70,126
50,16,126
54,8,126
-31,150,125
-24,-48,125
16,75,125
19,106,125
27,78,125
28,-89,125
42,-66,125
45,-101,125
50,-97,125
60,-152,125
-6,108,124
16,74,124
25,76,124
26,-98,124
26,128,124
29,33,124
41,37,124
43,-66,124
43,29,124
44,-64,124
